Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
92,ACABTC,47731298.00607469,2025-02-27 11:13:00,5.605599999999999e-07,0.026756256410283896,2025-02-27 11:57:00,5.4945e-07,0.02622596168943774,-0.5832769389472078,-0.021799646781789455,Long,Closed,92
93,ACABTC,63392455.939188465,2025-02-27 14:34:00,5.5055e-07,0.0349007166173152,2025-02-27 17:57:00,5.5944e-07,0.035464275550619595,0.4931939411314554,0.014131341385887121,Long,Closed,93
94,ACABTC,37405462.59068517,2025-02-27 18:08:00,5.7057e-07,0.021342434790366127,2025-02-27 21:17:00,5.5944e-07,0.020926111991732912,-0.4585913454164249,-0.021487302171512644,Long,Closed,94
95,ACABTC,67303721.0957379,2025-02-27 22:08:00,5.7057e-07,0.03840148414558797,2025-02-28 00:44:00,5.694300000000001e-07,0.038324757903546045,-0.1534524840982675,-0.003996003996003607,Long,Closed,95
96,ACABTC,50324508.47018104,2025-02-28 01:30:00,5.905899999999999e-07,0.029721151457401618,2025-02-28 02:07:00,5.694300000000001e-07,0.028656284858175195,-1.123244035544601,-0.037792749623257786,Long,Closed,96
97,ACABTC,65709493.84822799,2025-02-28 04:34:00,5.805799999999999e-07,0.03814961793840155,2025-02-28 05:22:00,5.694300000000001e-07,0.03741695708199647,-0.8082274314281241,-0.021185728065037927,Long,Closed,97
98,ACABTC,44726175.04522042,2025-02-28 10:18:00,5.7057e-07,0.02551941369554811,2025-02-28 10:45:00,5.5944e-07,0.025021611367298115,-0.5483433533161464,-0.021487302171512446,Long,Closed,98
99,ACABTC,32823806.054192282,2025-02-28 13:58:00,5.7057e-07,0.018728279020336913,2025-02-28 16:12:00,5.4945e-07,0.018035040236475952,-0.7300021031213533,-0.03897860034702118,Long,Closed,99
100,ACABTC,39182609.598832354,2025-02-28 18:29:00,5.5055e-07,0.021571985714633257,2025-02-28 18:40:00,5.4945e-07,0.021528884844078437,-0.08620174111742562,-0.003996003996003738,Long,Closed,100
101,ACABTC,40745486.806287885,2025-02-28 19:29:00,5.605599999999999e-07,0.022840290084129578,2025-02-28 22:28:00,5.4945e-07,0.02238760772571488,-0.49791025622769747,-0.021799646781789268,Long,Closed,101
102,ACHBTC,113224821.1593408,2025-02-01 06:41:00,5.605599999999999e-07,0.06346930574907361,2025-02-01 08:43:00,5.4945e-07,0.06221137798599981,-1.3836084468153413,-0.021799646781789406,Long,Closed,102
103,ACHBTC,165991452.64094335,2025-02-01 18:11:00,4.7046999999999995e-07,0.07809399872397194,2025-02-01 21:40:00,4.795199999999999e-07,0.07959622137038515,1.3445324263061829,0.017216846982804627,Long,Closed,103
104,ACHBTC,168585345.68262446,2025-02-01 22:39:00,5.004999999999999e-07,0.08437696551413865,2025-02-02 01:15:00,4.8951e-07,0.08252421256510149,-2.0196541271312722,-0.023936083916083616,Long,Closed,104
105,ACHBTC,173828971.1417754,2025-02-02 03:40:00,5.1051e-07,0.08874142805757401,2025-02-02 05:37:00,4.795199999999999e-07,0.08335446824190414,-5.5590557119831026,-0.0626432978785919,Long,Closed,105
106,ACHBTC,129403858.90704475,2025-02-02 08:31:00,4.7046999999999995e-07,0.06088063349999118,2025-02-02 09:00:00,4.5954e-07,0.05946624932214335,-1.534731060676124,-0.025208854974812164,Long,Closed,106
107,ACHBTC,102881128.77097268,2025-02-02 10:17:00,4.904899999999999e-07,0.050462164850870295,2025-02-02 12:01:00,4.6953e-07,0.0483057763918348,-2.255156400282288,-0.044690044649228156,Long,Closed,107
108,ACHBTC,218912682.6692958,2025-02-02 20:10:00,4.0039999999999996e-07,0.08765263814078139,2025-02-02 20:22:00,3.996e-07,0.0874775079946506,-0.3502602922708622,-0.00399600399600387,Long,Closed,108
109,ACHBTC,140008399.61826432,2025-02-02 21:00:00,4.1040999999999993e-07,0.0574608472873237,2025-02-02 22:48:00,3.996e-07,0.055947356487458424,-1.6268990036482127,-0.028313174630247545,Long,Closed,109
110,ACHBTC,130615556.03053612,2025-02-03 05:45:00,3.8037999999999997e-07,0.04968354520288898,2025-02-03 08:06:00,3.4964999999999996e-07,0.04566972916607695,-4.109169311187342,-0.08270684578579306,Long,Closed,110
